Id,First Name,Last Name,Full Name,Team Id,Team Name,Team Abbreviation,Conference,Division,Position,Height,Weight,Jersey Number,College,Country,Draft Year,Draft Round,Draft Number,Status
1091361855,Alex,Karaban,Alex Karaban,26,Sacramento Kings,SAC,West,Pacific,F,6-8,220,33,Connecticut,USA,2026,1,29,Active
1091362981,Koa,Peat,Koa Peat,24,Phoenix Suns,PHX,West,Pacific,F,6-8,235,18,Arizona,USA,2026,1,30,Active
1091363216,Tarris,Reed Jr.,Tarris Reed Jr.,27,San Antonio Spurs,SAS,West,Southwest,C,6-11,265,10,Connecticut,USA,2026,1,26,Active
1091462892,Tyler,Bilodeau,Tyler Bilodeau,3,Brooklyn Nets,BKN,East,Atlantic,F,6-9,230,34,UCLA,USA,2026,2,43,Active
1091463018,Jaden,Bradley,Jaden Bradley,28,Toronto Raptors,TOR,East,Atlantic,G,6-3,200,,Arizona,USA,2026,2,50,Active
1091463040,Trevon,Brazile,Trevon Brazile,8,Denver Nuggets,DEN,West,Northwest,F,6-10,220,,Arkansas,USA,2026,2,35,Active
1091463115,Maliq,Brown,Maliq Brown,27,San Antonio Spurs,SAS,West,Southwest,F,6-9,225,,Duke,USA,2026,2,44,Active
1091463429,Ryan,Conwell,Ryan Conwell,16,Miami Heat,MIA,East,Southeast,G,6-4,215,4,Louisville,USA,2026,2,37,Active
1091463885,Isaiah,Evans,Isaiah Evans,18,Minnesota Timberwolves,MIN,West,Northwest,F,6-6,175,33,Duke,USA,2026,2,33,Active
1091464155,Ja'Kobi,Gillespie,Ja'Kobi Gillespie,27,San Antonio Spurs,SAS,West,Southwest,G,6-1,186,,Tennessee,USA,2026,2,42,Active
1091464608,Bryce,Hopkins,Bryce Hopkins,8,Denver Nuggets,DEN,West,Northwest,,,,,St. John's,,2026,2,49,Active
1091464994,Jack,Kayil,Jack Kayil,20,New York Knicks,NYK,East,Atlantic,G,6-3,174,,-,Germany,2026,2,39,Active
1091465199,Tobi,Lawal,Tobi Lawal,7,Dallas Mavericks,DAL,West,Southwest,F,6-8,215,33,Virginia Tech,United Kingdom,2026,2,48,Active
1091465658,Baba,Miller,Baba Miller,13,LA Clippers,LAC,West,Pacific,F,6-11,204,,Cincinnati,Spain,2026,2,36,Active
1091465698,Dillon,Mitchell,Dillon Mitchell,2,Boston Celtics,BOS,East,Atlantic,F,6-8,205,,St. John's,USA,2026,2,40,Active
1091465870,Izaiyah,Nelson,Izaiyah Nelson,22,Orlando Magic,ORL,East,Southeast,F,6-10,218,25,South Florida,USA,2026,2,51,Active
1091465898,Tyler,Nickel,Tyler Nickel,20,New York Knicks,NYK,East,Atlantic,F,6-7,220,,Vanderbilt,USA,2026,2,47,Active
1091465991,Felix,Okpara,Felix Okpara,30,Washington Wizards,WAS,East,Southeast,C,6-11,235,,Tennessee,Nigeria,2026,2,46,Active
1091466034,Otega,Oweh,Otega Oweh,21,Oklahoma City Thunder,OKC,West,Northwest,G,6-4,215,13,Kentucky,USA,2026,2,41,Active
1091466594,Richie,Saunders,Richie Saunders,15,Memphis Grizzlies,MEM,West,Southwest,G,6-5,200,,Brigham Young,USA,2026,2,32,Active
1091466685,Emanuel,Sharp,Emanuel Sharp,26,Sacramento Kings,SAC,West,Pacific,G,6-3,210,34,Houston,Israel,2026,2,45,Active
1091466792,Braden,Smith,Braden Smith,12,Indiana Pacers,IND,East,Central,G,6-0,170,3,Purdue,USA,2026,2,38,Active
1091467074,Meleek,Thomas,Meleek Thomas,6,Cleveland Cavaliers,CLE,East,Central,G,6-5,185,15,Arkansas,USA,2026,2,34,Active
1091467104,Bruce,Thornton,Bruce Thornton,11,Houston Rockets,HOU,West,Southwest,G,6-2,215,,Ohio State,USA,2026,2,31,Active
1091475281,Lajae,Jones,Lajae Jones,10,Golden State Warriors,GSW,West,Pacific,G-F,6-7,220,25,Florida State,,2026,2,54,Active
1091475805,Nick,Martinelli,Nick Martinelli,13,LA Clippers,LAC,West,Pacific,F,6-7,220,,Northwestern,USA,2026,2,55,Active
1091476372,Ugonna,Onyenso,Ugonna Onyenso,9,Detroit Pistons,DET,East,Central,C,6-11,225,,Virginia,Nigeria,2026,2,53,Active
1091477603,Henri,Veesaar,Henri Veesaar,1,Atlanta Hawks,ATL,East,Southeast,C,7-0,225,13,North Carolina,Estonia,2026,2,52,Active
1091480242,Vsevolod,Ishchenko,Vsevolod Ishchenko,7,Dallas Mavericks,DAL,West,Southwest,G,6-3,,,-,Russia,2026,2,56,Active
1091480528,Trey,Kaufman-Renn,Trey Kaufman-Renn,18,Minnesota Timberwolves,MIN,West,Northwest,F,6-9,230,14,Purdue,USA,2026,2,59,Active
1091480795,Malique,Lewis,Malique Lewis,17,Milwaukee Bucks,MIL,East,Central,F,6-8,195,,-,Trinidad and Tobago,2026,2,60,Active
1091481434,Narcisse,Ngoy,Narcisse Ngoy,13,LA Clippers,LAC,West,Pacific,C,7-0,,,-,France,2026,2,57,Active
1091481720,Jaron,Pierre Jr.,Jaron Pierre Jr.,19,New Orleans Pelicans,NOP,West,Southwest,G,6-5,210,10,Southern Methodist,USA,2026,2,58,Active
1091903404,Tobe,Awaka,Tobe Awaka,5,Chicago Bulls,CHI,East,Central,F,6-8,250,,Arizona,USA,,,,Active
1091904395,Josh,Dix,Josh Dix,21,Oklahoma City Thunder,OKC,West,Northwest,,,,,Creighton,,,,,Active
1091904403,Tre,Donaldson,Tre Donaldson,16,Miami Heat,MIA,East,Southeast,G,6-3,195,24,Miami,USA,,,,Active
1091906694,AK,Okereke,AK Okereke,14,Los Angeles Lakers,LAL,West,Pacific,F,6-7,244,31,Vanderbilt,USA,,,,Active
1091907371,Jaylin,Sellers,Jaylin Sellers,5,Chicago Bulls,CHI,East,Central,,,,,Providence,,,,,Active
1091907917,Ernest,"Udeh, Jr.","Ernest Udeh, Jr.",6,Cleveland Cavaliers,CLE,East,Central,C,6-11,266,39,Miami,USA,,,,Active
